timestamp,electricity_kwh,gas_m3,production_ton
2022-10-15 00:00:00,521.27,75.62,13.49
2022-10-15 01:00:00,495.08,70.9,12.14
2022-10-15 02:00:00,517.24,76.65,10.79
2022-10-15 03:00:00,517.03,82.37,11.37
2022-10-15 04:00:00,472.43,86.09,13.26
2022-10-15 05:00:00,482.88,90.95,11.04
2022-10-15 06:00:00,506.92,81.5,10.19
2022-10-15 07:00:00,504.55,79.7,14.68
2022-10-15 08:00:00,514.75,83.76,11.27
2022-10-15 09:00:00,508.93,87.2,11.11
2022-10-15 10:00:00,542.21,84.36,13.89
2022-10-15 11:00:00,548.04,73.45,14.47
2022-10-15 12:00:00,544.29,74.51,14.93
2022-10-15 13:00:00,566.23,75.91,15.74
2022-10-15 14:00:00,561.03,74.22,14.69
2022-10-15 15:00:00,544.19,71.41,14.77
2022-10-15 16:00:00,563.83,66.5,14.2
2022-10-15 17:00:00,543.21,69.31,14.85
2022-10-15 18:00:00,568.18,70.25,15.03
2022-10-15 19:00:00,549.96,64.01,15.06
2022-10-15 20:00:00,542.23,72.73,12.43
2022-10-15 21:00:00,528.06,72.82,11.5
2022-10-15 22:00:00,549.32,68.4,13.56
2022-10-15 23:00:00,521.3,76.17,11.39
2022-10-16 00:00:00,510.27,77.85,10.44
2022-10-16 01:00:00,505.4,80.05,9.09
2022-10-16 02:00:00,513.97,84.52,12.81
2022-10-16 03:00:00,508.4,80.62,11.38
2022-10-16 04:00:00,507.89,83.09,11.77
2022-10-16 05:00:00,508.87,73.49,11.84
2022-10-16 06:00:00,537.12,86.91,11.88
2022-10-16 07:00:00,503.2,86.3,12.0
2022-10-16 08:00:00,507.32,86.67,12.41
2022-10-16 09:00:00,509.52,77.38,11.83
2022-10-16 10:00:00,538.26,82.37,11.39
2022-10-16 11:00:00,553.31,80.64,16.67
2022-10-16 12:00:00,541.59,72.72,14.42
2022-10-16 13:00:00,536.72,76.63,14.16
2022-10-16 14:00:00,541.65,72.62,13.92
2022-10-16 15:00:00,566.84,63.4,16.21
2022-10-16 16:00:00,569.45,70.12,15.06
2022-10-16 17:00:00,565.74,64.59,13.65
2022-10-16 18:00:00,545.02,61.13,14.01
2022-10-16 19:00:00,554.19,68.56,14.35
2022-10-16 20:00:00,546.75,67.84,13.04
2022-10-16 21:00:00,541.55,74.26,13.98
2022-10-16 22:00:00,544.05,71.64,15.04
2022-10-16 23:00:00,526.98,75.65,11.52
2022-10-17 00:00:00,526.88,76.78,17.54
2022-10-17 01:00:00,511.7,80.64,16.41
2022-10-17 02:00:00,510.32,75.9,16.92
2022-10-17 03:00:00,512.39,81.35,14.65
2022-10-17 04:00:00,479.84,81.44,18.42
2022-10-17 05:00:00,497.61,85.02,15.8
2022-10-17 06:00:00,497.94,83.9,16.91
2022-10-17 07:00:00,499.71,80.58,18.6
2022-10-17 08:00:00,510.87,80.75,20.88
2022-10-17 09:00:00,544.15,86.43,18.97
2022-10-17 10:00:00,516.03,73.07,20.55
2022-10-17 11:00:00,550.9,79.55,21.85
2022-10-17 12:00:00,518.06,79.35,21.32
2022-10-17 13:00:00,544.3,74.96,22.45
2022-10-17 14:00:00,556.46,77.9,20.99
2022-10-17 15:00:00,565.88,72.63,22.37
2022-10-17 16:00:00,568.97,69.42,24.37
2022-10-17 17:00:00,569.49,65.64,23.58
2022-10-17 18:00:00,549.77,68.41,21.59
2022-10-17 19:00:00,543.77,69.66,20.28
2022-10-17 20:00:00,557.87,68.08,20.52
2022-10-17 21:00:00,535.4,66.74,18.24
2022-10-17 22:00:00,511.85,66.79,18.99
2022-10-17 23:00:00,506.62,73.58,18.01
2022-10-18 00:00:00,502.91,69.82,17.34
2022-10-18 01:00:00,518.14,75.42,17.23
2022-10-18 02:00:00,508.12,70.49,17.75
2022-10-18 03:00:00,513.27,83.57,15.75
2022-10-18 04:00:00,495.29,85.97,18.25
